raw_name,accepted_name,gbif_key,genus,family,order,class,phylum,kingdom,status,match_type,confidence,ok,reason,retrieved_at
Acorus gramineus,Acorus gramineus,2873807,Acorus,Acoraceae,Acorales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,98,True,,2026-08-20
Acrocomia aculeata,Acrocomia aculeata,7413879,Acrocomia,Arecaceae,Arecales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Acronychia acidula,Acronychia acidula,7667721,Acronychia,Rutaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Acronychia pedunculata,Acronychia pedunculata,3836457,Acronychia,Rutaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Actaea heracleifolia,Actaea heracleifolia,5616598,Actaea,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Actinidia arguta,Actinidia arguta,3189693,Actinidia,Actinidiaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Actinidia chinensis,Actinidia chinensis,3189694,Actinidia,Actinidiaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Actinidia deliciosa,Actinidia chinensis,6550091,Actinidia,Actinidiaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,98,True,,2026-08-20
Actinidia polygama,Actinidia polygama,3189692,Actinidia,Actinidiaceae,Ericales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Actiniopteris dichotoma,Actiniopteris dichotoma,11261901,Actiniopteris,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Actinotus helianthi,Actinotus helianthi,5538649,Actinotus,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Adansonia digitata,Adansonia digitata,5406695,Adansonia,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Adansonia grandidieri,Adansonia grandidieri,5663154,Adansonia,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Adenanthera pavonina,Adenanthera pavonina,2951846,Adenanthera,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Adenium obesum,Adenium obesum,7155887,Adenium,Apocynaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Adesmia boronioides,Adesmia boronioides,5356147,Adesmia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Adiantum capillus,Adiantum capillus,11072362,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Adiantum pedatum,Adiantum pedatum,2651832,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Adina rubella,Adina rubella,2895028,Adina,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Adonis amurensis,Adonis amurensis,7277921,Adonis,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Adonis palaestina,Adonis palaestina,5616453,Adonis,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aegle marmelos,Aegle marmelos,5421195,Aegle,Rutaceae,Sapindales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Aegopodium podagraria,Aegopodium podagraria,3034620,Aegopodium,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aeollanthus suaveolens,Aeollanthus suaveolens,8274291,Aeollanthus,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,97,True,,2026-08-20
Aerangis fastuosa,Aerangis fastuosa,2836893,Aerangis,Orchidaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,ACCEPTED,EXACT,99,True,,2026-08-20
Aerva lanata,Ouret lanata,10974033,Ouret,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,SYNONYM,EXACT,97,True,,2026-08-20
