refNo,annexNo,inciName,chemicalName,innName,phEurName,casNo,ecNo,chemicalDescription,identifiedIngredient,functionName,cosmeticRestriction,maximumConcentration,productTypeBodyParts,otherRestrictions,otherRegulations,classificationInformation,note,colour,perfuming,publicationDate,currentVersion
28,V,Polyhexamethylene biguanide hydrochloride,Polyhexamethylene biguanide hydrochloride,Polyhexamethylene biguanide hydrochloride,,32289-58-0 [1]/ 27083-27-8 [2]/  28757-47-3 [3]/ 133029-32-0 [4],608-723-9 [1]/ 608-042-7 [2],,36692,,,0.1%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty>",,"[[""2"",""Carcinogenic"",""""]]",,,N,2019-05-23T00:00:00.000+0200,1
29,V,2-Phenoxyethanol,2-Phenoxyethanol,,,122-99-6,204-589-7,,36522,,,1.0%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
30,V,Methenamine,"1,3,5,7-Tetraazatricyclo[3.3.1.1(3,7)]decane",methenamine,,100-97-0,202-905-8,,35256,,,0.15%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
32,V,"1-(4-Chlorophenoxy)-1-(imidazol-1-yl)-3,3-dimethylbutan-2-one","(R,S)-1-(4-chlorophenoxy)-1-imidazol-1-yl-3,3-dimethylbutan-2-one",,,38083-17-9,253-775-4,,32909,,,"(a) 0,2 %
(b) 0,2 %
(c) 0,2 %
(d) 0,5 %","(a) Hair lotions
(b) Face creams
(c) Foot care products
(d) Rinse-off shampoo",<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>,,[],,,N,2019-05-07T00:00:00.000+0200,1
33,V,"1,3-Bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione","1,3-Bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione",,,6440-58-0,229-222-8,,33723,,,0.6%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
34,V,Benzyl alcohol (7),,,,100-51-6,202-859-9,,28294 | 32153,,,1.0%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],"V (7) For use other than as a preservative, see Annex III, No. 45 (a) (b)",,N,2013-04-25T00:00:00.000+0200,1
35,V,"1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl)-2 pyridon and its monoethanolamine salt",,,,50650-76-5 / 68890-66-4,- / 272-574-2,,36604,,,"a) 1.0% 
b) 0.5%","a) Rinse-off products
b) Other products","<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
36,V,Moved or deleted,,,,,,,,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
37,V,"2,2'-Methylenebis(6-bromo-4-chlorophenol)","6,6-Dibromo-4,4-dichloro-2,2'-methylene-diphenol",Bromochlorophen,,15435-29-7,239-446-8,,32226,,,0.1%,,<empty> | <empty> | <empty>,,[],,,N,2009-12-22T00:00:00.000+0100,1
38,V,4-Isopropyl-m-cresol,,,,3228-02-2,221-761-7,,34687 | 35637,,,0.1%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
39,V,Mixture of 5-Chloro-2-methyl-isothiazol-3(2H)-one and 2-Methylisothiazol-3(2H)-one with magnesium chloride and magnesium nitrate,Mixture of 5-Chloro-2-methyl-isothiazol-3(2H)-one and 2-Methylisothiazol-3(2H)-one with magnesium chloride and magnesium nitrate,,,"26172-55-4, 2682-20-4, 55965-84-9","247-500-7,  220-239-6",,35333 | 35341,,,0.0015% (of a mixture in the ratio 3:1 of 5-Chloro-2-methyl-isothiazol-3(2H)-one and 2-Methylisothiazol-3(2H)-one,Rinse-off,<empty> | <empty> | <empty>,,[],,,N,2014-09-26T00:00:00.000+0200,1
42,V,"N,N'-bis(4-chlorophenyl)-3,12-diimino-2,4,11,13-tetraazatetradecanediamidine and its digluconate, diacetate and dihydrochloride",,chlorhexidine,,55-56-1 / 56-95-1 / 18472-51-0 / 3697-42-5,200-238-7 / 200-302-4 / 242-354-0 / 223-026-6,,32657 | 32658 | 32659 | 32660,,,0.3% (as chlorhexidine),,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
43,V,1-Phenoxypropan-2-ol (8),,,,770-35-4,212-222-7,,36524,,,1.0%,Only for rinse-off products,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],"V (8) For use other than as a preservative, see Annex III, No. 54",,N,2009-12-22T00:00:00.000+0100,1
44,V,Alkyl (C12-C22) trimethyl ammonium bromide and chloride,,,,17301-53-0 / 57-09-0 / 112-02-7 / 1119-94-4 / 112-00-5 / 1120-02-1 / 112-03-8,241-327-0 / 200-311-3 / 203-928-6 / 214-290-3 / 203-927-0 / 214-294-5 / 203-929-1,,32112 | 32549 | 32589 | 32590 | 32980 | 34377 | 34409 | 34944 | 34945 | 35469 | 38214 | 38312 | 38313 | 38468,,,0.1%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],"V (1) (2) For use other than as a preservative, see Annex III, No. 287, 286",,N,2014-08-09T00:00:00.000+0200,1
45,V,"4,4-Dimethyl-1,3-oxazolidine",,,,51200-87-4,257-048-2,,33483,,,0.1%,,<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>,,[],,,N,2009-12-22T00:00:00.000+0100,1
46,V,"N-(Hydroxymethyl)-N-(dihydroxymethyl-1,3-dioxo-2,5-imidazolidinyl-4)-N'-(hydroxymethyl)urea","N-(Hydroxymethyl)-N-(dihydroxymethyl-1,3-dioxo-2,5-imidazolidinyl-4)-N'-(hydroxymethyl)urea",,,78491-02-8,278-928-2,,33218,,,0.5%,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],,,N,2009-12-22T00:00:00.000+0100,1
