refNo,annexNo,inciName,chemicalName,innName,phEurName,casNo,ecNo,chemicalDescription,identifiedIngredient,functionName,cosmeticRestriction,maximumConcentration,productTypeBodyParts,otherRestrictions,otherRegulations,classificationInformation,note,colour,perfuming,publicationDate,currentVersion
21,IV,"Sodium 4-[(2-hydroxy-1-naphthyl)azo]benzenesulphonate and its unsoluble barium, strontium and zirconium lakes, salts and pigments","Sodium 4-[(2-hydroxy-1-naphthyl)azo]benzenesulphonate and its unsoluble barium, strontium and zirconium lakes, salts and pigments",,,633-96-5,211-199-0,,31620 | 32714,,,Not to be used in eye products,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Orange,N,2009-12-22T00:00:00.000+0100,1
22,IV,Calcium disodium bis[2-chloro-5-[(2-hydroxy-1-naphthyl)azo]-4-sulphonatobenzoate],Calcium disodium bis[2-chloro-5-[(2-hydroxy-1-naphthyl)azo]-4-sulphonatobenzoate],,,5850-80-6,227-456-5,,32715,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
23,IV,Barium bis[4-[(2-hydroxy-1-naphthyl)azo]-2-methylbenzenesulphonate],Barium bis[4-[(2-hydroxy-1-naphthyl)azo]-2-methylbenzenesulphonate],,,5850-87-3,227-459-1,,32716,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
24,IV,Sodium 4-[(2-Hydroxy-1-naphthyl)azo]naphthalenesulphonate,Sodium 4-[(2-Hydroxy-1-naphthyl)azo]naphthalenesulphonate,,,1658-56-6,216-760-3,,32717,,,Rinse-off products,,<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>,,[],,Red,N,2009-12-22T00:00:00.000+0100,1
25,IV,"Sodium 2-[(2-hydroxynaphthyl)azo]naphthalenesulphonate and its insoluble barium, strontium and zirconium lakes, salts and pigments","Sodium 2-[(2-hydroxynaphthyl)azo]naphthalenesulphonate and its insoluble barium, strontium and zirconium lakes, salts and pigments",,,1248-18-6,214-998-2,,32718,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
26,IV,Calcium bis[3-hydroxy-4-(phenylazo)-2-naphthoate],Calcium bis[3-hydroxy-4-(phenylazo)-2-naphthoate],,,6371-76-2,228-899-7,,32719 | 87695,,,Not to be used in products applied on mucous membranes,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
27,IV,"Disodium 3-hydroxy-4-[(4-methyl-2-sulphonatophenyl)azo]-2-naphthoate and its insoluble barium, strontium and zirconium lakes, salts  and pigments","Disodium 3-hydroxy-4-[(4-methyl-2-sulphonatophenyl)azo]-2-naphthoate and its insoluble barium, strontium and zirconium lakes, salts  and pigments",,,,226-109-5,,32720 | 36571 | 79819,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
28,IV,"Disodium 4-[(5-chloro-4-methyl-2-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate and its insoluble barium, strontium and zirconium lakes, salts  and pigments","Disodium 4-[(5-chloro-4-methyl-2-sulphonatophenyl)azo]-3-hydroxy-2-naphthoate and its insoluble barium, strontium and zirconium lakes, salts  and pigments",226-102-7,,3564-21-4; 5280-66-0,222-642-2,,32721 | 36569 | 87672,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
29,IV,Calcium 3-hydroxy-4-[(1-sulphonato-2-naphthyl)azo]-2-naphthoate,Calcium 3-hydroxy-4-[(1-sulphonato-2-naphthyl)azo]-2-naphthoate,,,6417-83-0,229-142-3,,32722 | 36573 | 87713,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty>",,[],,Red,N,2009-12-22T00:00:00.000+0100,1
30,IV,Disodium 6-hydroxy-5-[(3-sulphonatophenyl)azo]naphthalene-2-sulphonate,Disodium 6-hydroxy-5-[(3-sulphonatophenyl)azo]naphthalene-2-sulphonate,,,2347-72-0,219-073-7,,32723,,,,,"<empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | as a constituent of other substances, or in mixtures, in concentrations equal to, or greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | <empty> | Shall not be placed on the market, or used, as substance or in mixtures in concentrations equal to ot greater than 0.1% by weight | <empty> | <empty> | <empty> | <empty> | Shall not be used as propellant in aerosols for any use. Aerosols dispenser containing the substance as propellant shall not be placed on the market | <empty>",,[],,Orange,N,2009-12-22T00:00:00.000+0100,1
