substanceId,inciName,innName,phEurName,casNo,ecNo,chemicalDescription,chemicalName,functionName,status,cosmeticRestriction,otherRestrictions,otherRegulations,relatedRegulations,maximumConcentration,productTypeBodyParts,wordingOfConditions,sccsOpinion,note,perfuming,annexNo,officialJournalPublication,currentVersion
60044,VELVET EXTRACT,,,,,"Velvet Extract is an extract of the velvet of the Red Deer, Cervus Elaphus",,HUMECTANT | SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60045,VERBASCUM THAPSUS,,,90064-13-4,290-074-2,"Verbascum Thapsus is the dried, cut herb Mullein, Verbascum thapsus L., Scrophulariaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60046,VERBENA OFFICINALIS FLOWER WATER,,,84961-67-1,284-657-0,"Verbena Officinalis Flower Water is an aqueous solution of the steam distillate obtained from the flowers of the Verbena, Verbena officinalis L., Verbenaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60047,VERBENA OFFICINALIS LEAF EXTRACT,,,84961-67-1,284-657-0,"Verbena Officinalis Leaf Extract is an extract of the leaves of the Verbena, Verbena officinalis L., Verbenaceae",,FRAGRANCE | SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60048,VERMICULITE EXTRACT,,,1318-00-9,,Vermiculite Extract is an extract of Vermiculite,,HAIR CONDITIONING | HUMECTANT | SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60049,VERONICA AMERICANA FLOWER/LEAF/STEM EXTRACT,,,,,"Veronica Americana Flower/Leaf/Stem Extract is an extract obtained from the flower, leaves and stems of the Veronica americana, Scrophulariaceae",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60050,VERONICA OFFICINALIS FLOWER/LEAF/STEM EXTRACT,,,85117-19-7,285-571-6,"Veronica Officinalis Flower/Leaf/Stem Extract is the extract of the flowers, leaves and stems of the Fluellen, Veronica officinalis L., Scrophulariaceae",,ASTRINGENT | SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60052,TALLOWETH-4,,,61791-28-4 (generic),,Polyethylene Glycol (4) Tallow Ether,,SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60053,TALLOWETH-5,,,61791-28-4 (generic),,Polyethylene Glycol (5) Tallow Ether,,SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60054,TALLOWETH-7,,,61791-28-4 (generic),-,"Tallow alcohols, ethoxylated (7 mol EO average molar ratio)",,SURFACTANT - EMULSIFYING | SURFACTANT - CLEANSING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60055,TAMARINDUS INDICA FRUIT EXTRACT,,,84961-62-6,284-651-8,"Tamarindus Indica Fruit Extract is an extract of the fruit of the Tamarind, Tamarindus indica L., Fabaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60056,TAMARINDUS INDICA FRUIT JUICE,,,84961-62-6,284-651-8,"Tamarindus Indica Fruit Juice is the juice expressed from the fruit of the Tamarind, Tamarindus indica L., Leguminosae",,FRAGRANCE,Active,,,,,,,,,,N,,Y,1
60057,TAMARINDUS INDICA HYDROXYPROPYLTRIMONIUM CHLORIDE,,,-,-,Tamarindus Indica Hydroxypropyltrimonium Chloride,,ANTISTATIC | HAIR CONDITIONING | SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60058,TAMARINDUS INDICA LEAF EXTRACT,,,84961-62-6,284-651-8,"Tamarindus Indica Leaf Extract is an extract of the leaves of the Tamarind, Tamarindus indica L., Leguminosae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60059,TAMARINDUS INDICA SEED EXTRACT,,,84961-62-6,284-651-8,"Tamarindus Indica Seed Extract is an extract of the seeds of the Tamarind, Tamarindus indica L., Leguminosae",,SKIN CONDITIONING - EMOLLIENT | HUMECTANT | SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60060,TAMARINDUS INDICA SEED GUM,,,84961-62-6,284-651-8,"Tamarindus Indica Seed Gum is the gum obtained from the seeds of the Tamarind, Tamarindus indica L., Leguminosae",,EMULSION STABILISING | VISCOSITY CONTROLLING,Active,,ban substances that deplete the ozone layer,,,,,,,,N,,Y,1
60061,TAMARINDUS INDICA SEED POLYSACCHARIDE,,,39386-78-2,254-442-6,"Tamarindus Indica Seed Polysaccharide is the polysaccharide fraction derived from the seed of the Tamarind, Tamarindus indica L., Leguminosae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60062,TAMARIX CHINENSIS FLOWER/LEAF EXTRACT,,,90131-44-5,290-354-4,"Tamarix Chinensis Flower/Leaf Extract is an extract of the flowers and leaves of the Chinese Tamarisk, Tamarix chinensis, Tamaricaceae",,HUMECTANT | SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60063,TAMBOURISSA TRICHOPHYLLA BARK EXTRACT,,,342806-97-7,,"Tambourissa Trichophylla Bark Extract is an extract of the bark of the Tambourissa trichophylla, Monimiaceae",,SKIN CONDITIONING,Active,,,,,,,,,,N,,Y,1
60064,TANACETUM CINERARIIFOLIUM FLOWER EXTRACT,,,89997-63-7,289-699-3,"Tanacetum Cinerariifolium Flower Extract is an extract of the flowers of the Pyrethrum, Tanacetum cinerariifolium, Asteraceae",,FRAGRANCE,Active,,,,,,,,,,N,,Y,1
60065,TANACETUM CINERARIIFOLIUM ROOT EXTRACT,,,89997-63-7,289-699-3,"Tanacetum Cinerariifolium Root Extract is an extract of the roots of the Pyrethrum, Tanacetum cinerariifolium, Asteraceae",,FRAGRANCE,Active,,,,,,,,,,N,,Y,1
60066,TANAKURA CLAY,,,,,Tanakura Clay is a native clay obtained from the Tanakura region in Japan,,ABSORBENT | BINDING | BULKING,Active,,,,,,,,,,N,,Y,1
60067,TAPIOCA STARCH,,,9005-25-8,232-679-6,Tapioca Starch is the starch obtained from tapioca. It consists primarily of amylose and amylopectin,,VISCOSITY CONTROLLING,Active,,,,,,,,,,N,,Y,1
60068,TAR OIL,,,8002-29-7,232-306-1,"Tar oil is a volatile oil distilled from wood tar, generally from the family Pinaceae",,FRAGRANCE,Active,,,,,,,,,,N,,Y,1
60069,TARAKTOGENOS KURZII SEED OIL,,,8001-74-9,*616-787-4,"Taraktogenos Kurzii Oil is a fixed oil expressed from the seeds of Taraktogenos kurzii, Flacourtiaceae. It consists primarily of the glycerides of the fatty acids",,SKIN CONDITIONING,Active,,ban substances that deplete the ozone layer,,,,,,,"I *: Substances without an EC number, but with a CAS number is preceded by a *",N,,Y,1
