COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
58166,LANTANA CAMARA LEAF EXTRACT,,, 90046-17-6,"Lantana Camara Leaf Extract is an extract of the leaves of Camara Grass, Lantana camara L., Verbenaceae",,SKIN CONDITIONING,15/10/2010
58167,LANTANA CAMARA LEAF WATER,,, 90046-17-6,"Lantana Camara Leaf Water is an aqueous solution of the steam distillate obtained from the dried leaves of the Camara Grass, Lantana camara L., Verbenaceae",,MASKING,15/10/2010
58168,LANTANA CAMARA ROOT EXTRACT,,, 90046-17-6,"Lantana Camara Root Extract is an extract of the roots of the Camara Grass, Lantana camara L., Verbenaceae",,SKIN CONDITIONING,15/10/2010
34842,LAMINARIA SACCHARINA EXTRACT,,, 90046-14-3,"Laminaria Saccharina Extract is an extract of the thallus of the Alga, Laminaria saccharina, Laminariaceae",,SKIN PROTECTING,15/10/2010
34840,LAMINARIA HYPERBOREA EXTRACT,,, 90046-13-2,"Laminaria Hyperborea Extract is an extract of the Alga, Laminaria hyperborea, Laminariaceae",,SKIN PROTECTING,15/10/2010
34839,LAMINARIA DIGITATA EXTRACT,,, 90046-12-1,"Laminaria Digitata Extract is an extract of the Alga, Laminaria digitata, Laminariaceae",,SKIN PROTECTING,15/10/2010
58101,LAMINARIA DIGITATA POWDER,,, 90046-12-1,"Laminaria Digitata Powder is the powder obtained from the dried, ground thallus of the Laminaria digitata, Laminariaceae",,SKIN CONDITIONING,15/10/2010
34838,LAMINARIA CLOUSTONI EXTRACT,,, 90046-11-0,"Laminaria Cloustoni Extract is an extract of the Kelp, Laminaria cloustoni, Laminariaceae",,SKIN PROTECTING,15/10/2010
78617,SCABIOSA ARVENSIS EXTRACT,,, 90046-08-5,"Scabiosa Arvensis Extract is an extract of the Field Scabious, Scabiosa arvensis L., Dipsacaceae",,"SKIN CONDITIONING, SOOTHING",15/10/2010
57816,KALANCHOE PINNATA LEAF EXTRACT,,, 90046-05-2,"Kalanchoe Pinnata Leaf Extract is an extract of the leaves of the Kalanchoe, Kalanchoe pinnata, Crassulaceae",,"MASKING, SKIN CONDITIONING",15/10/2010
57810,JUNIPERUS PHOENICEA GUM EXTRACT,,, 90046-03-0,"Juniperus Phoenicea Gum Extract is an extract of the gum of Juniperus phoenicea L., Cupressaceae",,TONIC,15/10/2010
41448,JUNIPERUS PHOENICEA WOOD EXTRACT,,, 90046-03-0,"Juniperus Phoenica Wood Extract is an extract obtained from the wood and twigs of the Juniper, Juniperus phoenica L., Cupressaceae",,PERFUMING,02/03/2011
41449,JUNIPERUS PHOENICEA WOOD OIL RECTIFIED,,, 90046-03-0,"Juniperus Phoenica Wood Oil Rectified is the rectified essential oil obtained from the wood and twigs of the Juniper, Juniperus phoenica L, Cupressaceae",,PERFUMING,02/03/2011
57809,JUNIPERUS OXYCEDRUS WOOD TAR,,, 90046-02-9 / 8013-10-3,"Juniperus Oxycedrus Wood Tar is the volatile oil obtained from the wood of the Red Juniper, Juniperus oxycedrus L., Cupressaceae",,HAIR CONDITIONING,15/10/2010
57752,JUNIPERUS OXYCEDRUS FRUIT EXTRACT,,, 90046-02-9,"Juniperus Oxycedrus Fruit Extract is an extract of the ripe fruit of the Red Juniper, Juniperus oxycedrus L., Cupressaceae",,"MASKING, PERFUMING, TONIC",15/10/2010
82462,JUNIPERUS OXYCEDRUS FRUIT OIL,,, 90046-02-9,"Juniperus Oxycedrus Fruit Oil is the volatile oil obtained from the ripe fruit of the Red Juniper, Juniperus oxycedrus L., Cupressaceae",,MASKING,15/10/2010
78069,JUNIPERUS OXYCEDRUS WOOD EXTRACT,,, 90046-02-9,"Juniperus Oxycedrus Wood Extract is the extract obtained from the wood of the Red Juniper, Juniperus Oxycedrus L., Cupressaceae",,"PERFUMING, SKIN CONDITIONING",15/10/2010
57808,JUNIPERUS OXYCEDRUS WOOD OIL,,, 90046-02-9,"Juniperus Oxycedrus Wood Oil is the volatile oil obtained from the wood of the Red Juniper, Juniperus oxycedrus L., Cupressaceae",,"MASKING, PERFUMING, TONIC",15/10/2010
85297,JUNIPERUS OXYCEDRUS WOOD POWDER,,, 90046-02-9,"Juniperus Oxycedrus Wood Powder is the dried, ground powder of the wood of Juniperus oxycedrus, Cupressaceae",,ABRASIVE,15/10/2010
58613,SIMMONDSIA CHINENSIS BUTTER,,, 90045-98-0,"Simmondsia Chinensis Butter is the material obtained by the isomerization of the oil from the Jojoba, Simmondsia chinensis, Buxaceae",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
