COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
77276,PEG-7 LANOLATE,,, 68459-50-7,"Fatty acids, lanolin, ethoxylated (7 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
77386,PEG-8 LANOLATE,,, 68459-50-7,"Fatty acids, lanolin, ethoxylated. (8 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
37071,PPG-12-PEG-50 LANOLIN,,, 68458-88-8,"Lanolin, ethoxylated, propoxylated",,"EMULSIFYING, HAIR CONDITIONING, SURFACTANT",24/01/2011
39769,C14 KETONES,,, 68458-86-6,"Ketones, C14",,PERFUMING,02/03/2011
77911,OLEOYL HYDROLYZED COLLAGEN,,, 68458-51-5,"Collagen hydrolyzed, reaction products with 9-(Z)-octadecenoyl chloride",,"ANTISTATIC, CLEANSING, EMOLLIENT, FILM FORMING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",15/10/2010
38837,UNDECYLPENTADECANOL,,, 68444-33-7,Isohexacosyl alcohol,,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
76868,HYDROXYPROPYL GUAR,,, 68442-94-4 / 39421-75-5,"Guar gum, 2-hydroxypropyl ether, depolymd.",,"ANTISTATIC, BINDING, EMULSION STABILISING, FILM FORMING, SURFACTANT, VISCOSITY CONTROLLING",15/10/2010
79457,RAYON,,, 68442-85-3 / 61788-77-0,"Cellulose, regenerated. The product is obtained by treating cellulose with caustic soda, reacting this with carbon disulfide, dissolving this in a dilute alkali solution and extruding into an acid to form a continuous viscose tube",,"BULKING, VISCOSITY CONTROLLING",15/10/2010
89477,HYDROLYZED ETHYLENE/MA COPOLYMER,,, 68441-86-1,"2,5-Furanedione, polymer with with ethene, hydrolyzed",,"EMULSIFYING, SURFACTANT",17/11/2016
85397,HYDROGENATED ACETOPHENONE/OXYMETHYLENE COPOLYMER,,, 68441-83-8,Hydrogenated Acetophenone/Oxymethylene Copolymer is the reaction product of formaldehyde and acetophenone followed by hydrogenation,,"BINDING, NAIL CONDITIONING",15/10/2010
84647,PENTAERYTHRITYL TETRACAPRYLATE/TETRACAPRATE,,, 68441-68-9,"Decanoic acid, mixed esters with octanoic acid and pentaerythritol",,EMOLLIENT,15/10/2010
78286,OXIDIZED POLYETHYLENE,,, 68441-17-8,"Ethene, homopolymer, oxidized",,VISCOSITY CONTROLLING,15/10/2010
55788,DIMETHICONE/SILSESQUIOXANE COPOLYMER,,, 68440-84-6,Dimethicone/Silsesquioxane Copolymer is a siloxane polymer consisting of methyl trimethoxysilane and dimethylsiloxane,,"FILM FORMING, HAIR CONDITIONING, HAIR FIXING",15/10/2010
59416,PPG-12 DIMETHICONE,,, 68440-66-4 / 68554-64-3,Polyoxypropylene(12) dimethicone,,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
77197,PEANUT OIL PEG-6 ESTERS,,, 68440-49-3,"Peanut (Arachis hypogaea L., Leguminosae) oil, transesterifiaction products with polyethylene oxide (6 mol EO average molar ratio)",,EMOLLIENT,12/06/2014
34402,HYDROGENATED TALLOWAMIDE DEA,,, 68440-32-4,"Fatty acids, tallow, reaction products with diethanolamine",III/60,"FOAM BOOSTING, STABILISING, SURFACTANT, VISCOSITY CONTROLLING",15/10/2010
80009,SODIUM RAPESEEDATE,,, 68440-17-5,"Fatty acids, rape oil, sodium salts",,"CLEANSING, EMULSIFYING, SURFACTANT, VISCOSITY CONTROLLING",15/10/2010
58074,PALM ACID,,, 68440-15-3,"Fatty acids, palm-oil",,"CLEANSING, EMULSIFYING",15/10/2010
78564,POLYBETA-ALANINE,,, 68440-02-8,"3-Aminopropanoic acid, homopolymer",,SKIN CONDITIONING,15/10/2010
34956,LAURYL DIETHYLENEDIAMINOGLYCINE,Dodicin [BAN],, 6843-97-6,"Glycine, N-[2-[[2-(dodecylamino)ethyl]amino]ethyl]-",,"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
80584,TALLOWAMINOPROPYLAMINE,,, 68439-73-6,"Amines, N-(C14-18 and C16-18-unsatd. alkyl)trimethylenedi-",,"ANTISTATIC, EMULSIFYING",15/10/2010
37771,SODIUM C14-16 OLEFIN SULFONATE,,, 68439-57-6,"Sulfonic acids, C14-16-alkane hydroxy and C14-16-alkene, sodium salts",,"CLEANSING, FOAMING, SURFACTANT",04/10/2012
79836,PPG-10 LANOLIN ALCOHOL ETHER,,, 68439-53-2,"Alcohols, lanolin, propoxylated (10 mol PO average molar ratio)",,"EMOLLIENT, EMULSIFYING, HAIR CONDITIONING",15/10/2010
37102,PPG-2 LANOLIN ALCOHOL ETHER,,, 68439-53-2,"Alcohols, lanolin, propoxylated",,"EMOLLIENT, EMULSIFYING, HAIR CONDITIONING",15/10/2010
37109,PPG-20 LANOLIN ALCOHOL ETHER,,, 68439-53-2,"Alcohols, lanolin, propoxylated",,"EMOLLIENT, EMULSIFYING, HAIR CONDITIONING",15/10/2010
37158,PPG-30 LANOLIN ALCOHOL ETHER,,, 68439-53-2,"Alcohols, lanolin, propoxylated",,"EMOLLIENT, EMULSIFYING, HAIR CONDITIONING",15/10/2010
78575,PPG-5 LANOLIN ALCOHOL ETHER,,, 68439-53-2,"Alcohols, lanolin, propoxylated",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
80188,PPG-4 LAURETH-2,,, 68439-51-0,"Dodecanol, ethoxylated, propoxylated (2 mol EO, 4 mol PO average molar ratio); Alcohols, C12-14, ethoxylated propoxylated",,"EMOLLIENT, EMULSION STABILISING, SKIN CONDITIONING",15/10/2010
80189,PPG-4 LAURETH-5,,, 68439-51-0,"Dodecanol, ethoxylated, propoxylated (5 mol EO, 4 mol PO average molar ratio); Alcohols, C12-14, ethoxylated propoxylated",,"EMULSION STABILISING, SKIN CONDITIONING, SURFACTANT",15/10/2010
78590,PPG-5-LAURETH-5,,, 68439-51-0,"Dodecanol, ethoxylated, propoxylated (5 mol EO, 5 mol PO average molar ratio)",,"EMOLLIENT, EMULSIFYING",15/10/2010
74712,C12-14 PARETH-3,,, 68439-50-9 (generic),C12-14 Pareth-3 is a polyethylene glycol ether of a mixture of synthetic C12-14 alcohols with an average of 3 moles of ethylene oxide,,"EMULSIFYING, SURFACTANT",26/03/2019
74711,C12-14 PARETH-12,,, 68439-50-9,"Alcohols, C12-14, ethoxylated (12 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
74713,C12-14 PARETH-7,,, 68439-50-9,"Alcohols, C12-14, ethoxylated, (7 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75093,CETEARETH-10,,, 68439-49-6,"C16-18 alcohols, ethoxylated (10 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75095,CETEARETH-100,,, 68439-49-6,"C16-18 alcohols, ethoxylated (100 mol EO average molar ratio)",,"CLEANSING, SURFACTANT",15/10/2010
75096,CETEARETH-11,,, 68439-49-6,"C16-18 alcohols, ethoxylated (11 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75097,CETEARETH-12,,, 68439-49-6,"C16-18 alcohols, ethoxylated (12 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75098,CETEARETH-13,,, 68439-49-6,"C16-18 alcohols, ethoxylated (13 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
55333,CETEARETH-14,,, 68439-49-6,"C16-18 alcohols, ethoxylated (14 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75099,CETEARETH-15,,, 68439-49-6,"C16-18 alcohols, ethoxylated (15 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75100,CETEARETH-16,,, 68439-49-6,"C16-18 alcohols, ethoxylated (16 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75101,CETEARETH-17,,, 68439-49-6,"C16-18 alcohols, ethoxylated (17 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75102,CETEARETH-18,,, 68439-49-6,"C16-18 alcohols, ethoxylated (18 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75103,CETEARETH-2,,, 68439-49-6,"C16-18 alcohols, ethoxylated (2 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75105,CETEARETH-20,,, 68439-49-6,"C16-18 alcohols, ethoxylated (20 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75106,CETEARETH-22,,, 68439-49-6,"C16-18 alcohols, ethoxylated (22 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT, VISCOSITY CONTROLLING",15/10/2010
75107,CETEARETH-23,,, 68439-49-6,"C16-18 alcohols, ethoxylated (23 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
55334,CETEARETH-24,,, 68439-49-6,"C16-18 alcohols, ethoxylated (24 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75108,CETEARETH-25,,, 68439-49-6,"C16-18 alcohols, ethoxylated (25 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75110,CETEARETH-27,,, 68439-49-6,"C16-18 alcohols, ethoxylated (27 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75111,CETEARETH-28,,, 68439-49-6,"C16-18 alcohols, ethoxylated (28 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75112,CETEARETH-29,,, 68439-49-6,"C16-18 alcohols, ethoxylated (29 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75113,CETEARETH-3,,, 68439-49-6,"C16-18 alcohols, ethoxylated (3 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75114,CETEARETH-30,,, 68439-49-6,"C16-18 alcohols, ethoxylated (30 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75115,CETEARETH-33,,, 68439-49-6,"C16-18 alcohols, ethoxylated (33 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75116,CETEARETH-34,,, 68439-49-6,"C16-18 alcohols, ethoxylated (34 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75117,CETEARETH-4,,, 68439-49-6,"C16-18 alcohols, ethoxylated (4 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75119,CETEARETH-40,,, 68439-49-6,"C16-18 alcohols, ethoxylated (40 mol EO average molar ratio)",,"CLEANSING, SURFACTANT",15/10/2010
75120,CETEARETH-5,,, 68439-49-6,"C16-18 alcohols, ethoxylated (5 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75122,CETEARETH-50,,, 68439-49-6,"C16-18 alcohols, ethoxylated (50 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75123,CETEARETH-55,,, 68439-49-6,"C16-18 alcohols, ethoxylated (55 mol EO average molar ratio)",,"CLEANSING, SURFACTANT",15/10/2010
75124,CETEARETH-6,,, 68439-49-6,"C16-18 alcohols, ethoxylated (6 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75125,CETEARETH-60,,, 68439-49-6,"C16-18 alcohols, ethoxylated (60 mol EO average molar ratio)",,"CLEANSING, EMULSIFYING, SURFACTANT",15/10/2010
75127,CETEARETH-7,,, 68439-49-6,"C16-18 alcohols, ethoxylated (7 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75128,CETEARETH-8,,, 68439-49-6,"C16-18 alcohols, ethoxylated (8 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75129,CETEARETH-80,,, 68439-49-6,"C16-18 alcohols, ethoxylated (80 mol EO average molar ratio)",,"CLEANSING, SURFACTANT",15/10/2010
75130,CETEARETH-9,,, 68439-49-6,"C16-18 alcohols, ethoxylated (9 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
96564,C9-11 PARETH-2,,, 68439-46-3,C9-11 Pareth-2 is a polyethylene glycol ether of a mixture of synthetic C9-11 fatty alcohols with an average of 2 moles of ethylene oxide.,,SURFACTANT,02/04/2019
74871,C9-11 PARETH-3,,, 68439-46-3,"Alcohols, C9-11, ethoxylated (3 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
74872,C9-11 PARETH-6,,, 68439-46-3,"Alcohols, C9-11, ethoxylated (6 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
74874,C9-11 PARETH-8,,, 68439-46-3,"Alcohols, C9-11, ethoxylated (8 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
75597,DIHYDROXYETHYL TALLOWAMINE OLEATE,,, 68439-43-0,"9-Octadecenoic acid (Z)-, compd. with N-tallow alkyl-2,2'-iminobis[ethanol]",,"EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",15/10/2010
58226,SOLVENT YELLOW 172,,, 68427-35-0,"5-Benzoxazolsulfonamide, 2-[7-(diethylamino)-2-oxo-2H-1-benzopyran-3-yl]-",,HAIR DYEING,15/10/2010
80580,TALLOWAMIDOPROPYL DIMETHYLAMINE,,, 68425-50-3,"Amides, tallow, N-[3-(dimethylamino)propyl]",,"ANTISTATIC, SURFACTANT",15/10/2010
38202,SOYAMIDE DEA,,, 68425-47-8,"Amides, soya, N,N-bis(hydroxyethyl)",III/60,"EMULSIFYING, EMULSION STABILISING, FOAM BOOSTING, SURFACTANT, VISCOSITY CONTROLLING",15/10/2010
77459,PEG-11 COCAMIDE,,, 68425-44-5,"Amides, coco alkyl, N-(hydroxyethyl), ethoxylated (10 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
57659,PEG-2 COCAMIDE,,, 68425-44-5,"Amides, coco alkyl, N-(hydroxyethyl), ethoxylated (1 mol EO average molar ratio)",,"EMULSIFYING, FOAM BOOSTING",15/10/2010
77944,PEG-20 COCAMIDE,,, 68425-44-5,"Amides, coco alkyl, N-(hydroxyethyl), ethoxylated (19 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
57719,PEG-20 COCAMIDE MEA,,, 68425-44-5,"Amides, coco alkyl, N-(hydroxyethyl), ethoxylated (20 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
58087,PEG-4 COCAMIDE,,, 68425-44-5,"Amides, coco alkyl, N-(hydroxyethyl), ethoxylated (3 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
76917,PEG-5 COCAMIDE,,, 68425-44-5,"Amides, coco alkyl, N-(hydroxyethyl), ethoxylated (4 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
77122,PEG-6 COCAMIDE,,, 68425-44-5,"Amides, coco alkyl, N-(hydroxyethyl), ethoxylated (5 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
77228,PEG-7 COCAMIDE,,, 68425-44-5,"Amides, coco alkyl, N-(hydroxyethyl), ethoxylated (6 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
32927,COCAMIDOPROPYL DIMETHYLAMINE PROPIONATE,,, 68425-43-4,"Amides, coco, N-(3-(dimethylamino)propyl), propionates",,"ANTISTATIC, HAIR CONDITIONING, SURFACTANT",15/10/2010
75235,COCAMIDOPROPYL DIMETHYLAMINE LACTATE,,, 68425-42-3,"Amides, coco, N-[3-(dimethylamino)propyl], lactates",,"HAIR CONDITIONING, SURFACTANT",15/10/2010
75281,COCONUT ALCOHOL,,, 68425-37-6,"Alcohols, coco",,"EMOLLIENT, EMULSIFYING, EMULSION STABILISING, FOAM BOOSTING, STABILISING, SURFACTANT, VISCOSITY CONTROLLING",15/10/2010
34378,HYDROGENATED PEANUT OIL,,, 68425-36-5,"Peanut oil, hydrogenated",,"EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, VISCOSITY CONTROLLING",12/06/2014
76651,HYDROGENATED STARCH HYDROLYSATE,,, 68425-17-2,"Maize starch, hydrolyzed, hydrogenated",,HUMECTANT,15/10/2010
33249,DICAPRYL/DICAPRYLYL DIMONIUM CHLORIDE,,, 68424-95-3,"Quaternary ammonium compounds, di-C8-10-alkyldimethyl, chlorides",,"ANTISTATIC, EMULSIFYING, HAIR CONDITIONING",15/10/2010
75265,COCO-BETAINE,,, 68424-94-2,"Betaines, coco alkyldimethyl",,"ANTISTATIC, CLEANSING, FOAM BOOSTING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT, VISCOSITY CONTROLLING",04/10/2012
34516,HYDROXYLATED LANOLIN,,, 68424-66-8,"Lanolin, hydroxylated",,"ANTISTATIC, BINDING, EMOLLIENT, EMULSIFYING, FILM FORMING, SKIN CONDITIONING",15/10/2010
35032,LINSEED ACID,,, 68424-45-3,"Fatty acids, linseed-oil",,"CLEANSING, EMOLLIENT, EMULSIFYING, SURFACTANT",15/10/2010
34858,LANOLIN ACID,,, 68424-43-1,"Fatty acids, lanolin",,"CLEANSING, EMOLLIENT, EMULSIFYING, SURFACTANT",15/10/2010
57539,PENTAERYTHRITYL TETRA C5-10 ACID ESTERS,,, 68424-31-7,"Fatty acids, C5-10, esters with pentaerythritol",,PLASTICISER,15/10/2010
59124,POTASSIUM HEMPSEEDATE,,, 68424-21-5,"Potassium salt of the fatty acids of the seeds of Cannabis sativa, Cannabaceae",,SURFACTANT,15/10/2010
78644,POLYDEXTROSE,polydextrose,, 68424-04-4,Random polymer of D-glucose condensation,,"BULKING, HUMECTANT",15/10/2010
39654,"2,7-DIMETHYL-5-OCTEN-4-ONE",,, 68419-46-5,"2,7-Dimethyloct-5-en-4-one",,PERFUMING,02/03/2011
59221,POTASSIUM ISOSTEARATE,,, 68413-46-7,Potassium salt of isostearic acid,,SURFACTANT,15/10/2010
32291,C8-10 ALKYL ETHYL PHOSPHATE,,, 68412-60-2,"Phosphoric acid, mixed decyl and Et and octyl esters",,VISCOSITY CONTROLLING,15/10/2010
80318,TRIDECETH-15 CARBOXYLIC ACID,,, 68412-55-5,"Poly(oxy-1,2-ethanediyl), .alpha.-carboxymethyl-.omega.-tridecyloxy- (14 mol EO average molar ratio)",,"EMULSIFYING, SURFACTANT",15/10/2010
80319,TRIDECETH-19 CARBOXYLIC ACID,,, 68412-55-5,"Poly(oxy-1,2-ethanediyl), .alpha.-carboxymethyl-.omega.-tridecyloxy- (18 mol EO average molar ratio)",,"CLEANSING, FOAMING, SURFACTANT",15/10/2010
80327,TRIDECETH-4 CARBOXYLIC ACID,,, 68412-55-5,"Poly(oxy-1,2-ethanediyl), .alpha.-carboxymethyl-.omega.-tridecyloxy- (3 mol EO average molar ratio)",,"CLEANSING, FOAMING, SURFACTANT",15/10/2010
80333,TRIDECETH-7 CARBOXYLIC ACID,,, 68412-55-5,"Poly(oxy-1,2-ethanediyl), .alpha.-carboxymethyl-.omega.-tridecyloxy- (6 mol EO average molar ratio)",,"CLEANSING, FOAMING, SURFACTANT",15/10/2010
34463,HYDROLYZED SOY STARCH,,, 68412-29-3,"Soy starch, Glycine soja, hydrolyzed",,SKIN CONDITIONING,15/10/2010
34472,HYDROLYZED WHEAT STARCH,,, 68412-29-3,"Starch, wheat (triticum vulgare), hydrolyzed",,"SKIN CONDITIONING, VISCOSITY CONTROLLING",15/10/2010
40710,"7-METHYL-3-METHYLENE-1,6-OCTADIENE ACETYLATED",,, 68412-04-4,"7-Methyl-3-methylene-1,6-octadiene, acetylated",,PERFUMING,02/03/2011
75459,COCOYL SARCOSINE,,, 68411-97-2,"Glycine, N-methyl-, N-coco acyl derivs.",,"CLEANSING, HAIR CONDITIONING, SURFACTANT",15/10/2010
38495,TEA-COCOYL SARCOSINATE,,, 68411-96-1,"Glycine, N-methyl-, N-coco acyl derivs., compds. with triethanolamine",III/62,"CLEANSING, FOAMING, HAIR CONDITIONING, SURFACTANT",15/10/2010
40006,2-FURANCARBALDEHYDE/HEPTANAL HYDROGENATED,,, 68411-59-6,"2-Furancarboxaldehyde, reaction products with heptanal, hydrogenated",,PERFUMING,02/03/2011
75825,DISODIUM COCOAMPHODIPROPIONATE,,, 68411-57-4,"beta-Alanine, N-(2-aminoethyl)-N-[2-(2-carboxyethoxy)ethyl]-, N-coco acyl derivs., disodium salts",,"CLEANSING, FOAM BOOSTING, HAIR CONDITIONING, HYDROTROPE, SKIN CONDITIONING, SURFACTANT",15/10/2010
91619,SODIUM C10-13 ALKYL BENZENESULFONATE,,, 68411-30-3,"Benzenesulfonic acid, C10-13-alkyl derivs., sodium salts",,"CLEANSING, SURFACTANT",20/11/2014
74635,C12-15 ALKYL BENZOATE,,, 68411-27-8,"Benzoic acid, C12-15 alkyl esters",,"ANTIMICROBIAL, EMOLLIENT, SKIN CONDITIONING",15/10/2010
79252,QUATERNIUM-53,,, 68410-69-5,"Ethanaminium, 2-amino-N-(2-aminoethyl)-N-[2-[2-(2-hydroxyethoxy)ethoxy]ethyl]-N-methyl-, N,N'-ditallow acyl derivs., Me sulfates (salts)",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
34430,HYDROLYZED GELATIN,,, 68410-45-7,"Gelatins, hydrolyzates. Enzymatic digest produced by hydrolysis of gelatin",,SKIN CONDITIONING,15/10/2010
41245,TRIMETHYL-6-THIABICYCLOOCTANE,,, 68398-18-5,"4,7,7-Trimethyl-6-thiabicyclo[3.2.1]octane",,PERFUMING,02/03/2011
34256,HEXADIMETHRINE CHLORIDE,,, 68393-49-7,"Poly[(dimethylimino)-1,3-propanediyl(dimethyliminio)-1,6-hexanediyl dichloride]",,ANTISTATIC,15/10/2010
32071,BASIC BROWN 17,,, 68391-32-2,[8-[(4-Amino-3-nitrophenyl)azo]-7-hydroxy-2-naphthyl]trimethylammonium chloride (CI 12251),III/304,HAIR DYEING,13/03/2018
32085,BASIC YELLOW 57,,, 68391-31-1,"3-[(4,5-Dihydro-3-methyl-5-oxo-1-phenyl-1H-pyrazol-4-yl)azo]-N,N,N-trimethylanilinium chloride (CI 12719)",Annex III/262,HAIR DYEING,06/06/2019
32080,BASIC RED 76,,, 68391-30-0,[7-Hydroxy-8-[(2-methoxyphenyl)azo]-2-naphthyl]trimethylammonium chloride (CI 12245),,HAIR DYEING,17/11/2016
41065,TETRAMETHYLHEXANAL,,, 68391-29-7,"2,3,5,5-Tetramethylhexanal",,PERFUMING,02/03/2011
33243,DI-C12-18 ALKYL DIMONIUM CHLORIDE,,, 68391-05-9,"Quaternary ammonium compounds, di-C12-18-alkyldimethyl, chlorides",,"HAIR CONDITIONING, SKIN CONDITIONING",15/10/2010
78048,PEG-20 METHYL GLUCOSE SESQUISTEARATE,,, 68389-70-8,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, ether with methyl .beta.-d-glucopyranoside (4:1), octadecanoate (2:3) (20 mol EO average molar ratio)",,EMULSIFYING,15/10/2010
54590,AMMONIUM ACRYLOYLDIMETHYLTAURATE/LAURETH-7 METHACRYLATE COPOLYMER,,, 683748-07-4,"1-Propapnesulfonic Acid, 2-Methyl-2-[(1-Oxo-2-Propenyl)Amino]-, Monoammonium Salt, Polymers with Polyethylene Glycol Methacrylate C12-14 Alkyl Ethers",,ABRASIVE,15/10/2010
79774,SODIUM METASILICATE,,, 6834-92-0,Disodium metasilicate,,"ANTICORROSIVE, BUFFERING, CHELATING",15/10/2010
56660,HYDROGENATED PISTACHIO SEED OIL,,, 68334-28-1,Hydrogenated Pistachio Seed Oil is the end-product of the controlled hydrogenation of Pistacia Vera Seed Oil,,SKIN CONDITIONING,16/03/2012
91015,HYDROGENATED PISTACIA VERA SEED OIL,,, 68334-28-1,"Hydrogenated Pistacia Vera Seeted Pistacia Vera Seed Oil d Oil is the end-product of the controlled hydrogenation of Pistacia Vera Seed Oil, Pistacia vera L. ,Anacardiaceae",,"EMOLLIENT, SKIN CONDITIONING",25/04/2013
34414,HYDROGENATED VEGETABLE OIL,,, 68334-28-1,"Oils, vegetable, hydrogenated",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
34342,HYDROGENATED COTTONSEED OIL,,, 68334-00-9,"Cottonseed oil, hydrogenated",,"EMOLLIENT, SKIN CONDITIONING",15/10/2010
32920,COCAMIDE MIPA,,, 68333-82-4,"Amides, coco, N-(2-hydroxypropyl)",,"EMULSIFYING, EMULSION STABILISING, FOAM BOOSTING, SURFACTANT, VISCOSITY CONTROLLING",04/10/2012
91913,COCONUT OIL MIPA AMIDES,,, 68333-82-4,Coconut Oil MIPA Amides is the mixture of amides produced by the transamidation of Cocos Nucifera (Coconut) Oil with Isopropanolamine.,,VISCOSITY CONTROLLING,08/12/2014
95990,SODIUM STEARIC ACID SULFATE,,, 68331-91-9,"Octadecanoic acid, 9(or 10)-(sulfooxy)-, sodium salt (1:?)",,"EMULSIFYING, SOLVENT, SURFACTANT",19/04/2018
39714,7-ISOPROPYL-5-METHYLBICYCLOOCTENE-2-CARBONITRILE,,, 68311-05-7,7-Isopropyl-5-methylbicyclo[2.2.2]oct-5-ene-2-carbonitrile,,PERFUMING,02/03/2011
34954,LAURYL BETAINE,,, 683-10-3,(Carboxylatomethyl)dodecyldimethylammonium,,"ANTISTATIC, CLEANSING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT",15/10/2010
38440,TALL OIL BENZYL HYDROXYETHYL IMIDAZOLINIUM CHLORIDE,,, 68309-34-2,"Imidazolium compounds, 1-benzyl-4,5-dihydro-1-(hydroxyethyl)-2-nortall-oil alkyl, chlorides",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
38213,SOYETHYLDIMONIUM ETHOSULFATE,,, 68308-67-8,"Quaternary ammonium compounds, ethyldimethylsoya alkyl, Et sulfates",,"ANTISTATIC, HAIR CONDITIONING",15/10/2010
32968,COCO-ETHYLDIMONIUM ETHOSULFATE,,, 68308-64-5,"Quaternary ammonium compounds, coco alkylethyldimethyl, Et sulfates",,"ANTISTATIC, HAIR CONDITIONING, SURFACTANT",15/10/2010
38196,SOY ACID,,, 68308-53-2,"Fatty acids, soya",,"EMOLLIENT, EMULSIFYING, REFATTING",15/10/2010
75389,COTTONSEED ACID,,, 68308-51-0,"Fatty acids, cottonseed-oil",,"CLEANSING, EMOLLIENT, SURFACTANT",15/10/2010
75487,CORN ACID,,, 68308-50-9,"Fatty acids, corn-oil",,"CLEANSING, EMOLLIENT, EMULSIFYING, OPACIFYING, SURFACTANT",15/10/2010
54606,AMMONIUM SHELLACATE,,, 68308-35-0,"Shellac, ammonium salt",,"EMULSIFYING, EMULSION STABILISING",15/10/2010
74906,CALCIUM MONTANATE,,, 68308-22-5 / 52258-47-6,"Fatty acids, montan-wax, calcium salts",,"ANTICAKING, VISCOSITY CONTROLLING",15/10/2010
41027,TETRAHYDRO-HEXAMETHYL-AS-INDACEN-3-ONE,,, 68298-33-9,"1,6,7,8-Tetrahydro-1,4,6,6,8,8-hexamethyl-as-indacen-3(2H)-one",,PERFUMING,02/03/2011
75755,DISODIUM CAPROAMPHODIACETATE,,, 68298-22-6,Disodium N-[2-(carboxylatomethoxy)ethyl]-N-[2-[(1-oxodecyl)amino]ethyl]glycinate,,"ANTISTATIC, CLEANSING, FOAMING, HAIR CONDITIONING, HYDROTROPE, SURFACTANT",15/10/2010
